id,report_date,occured_date,occured_time,area,crime,victim_age,victim_sex,victim_descent,premise,weapon,status,lat,lon
100100894,2010-05-10,2010-05-07,10:00,Central,KIDNAPPING,48,F,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0495,-118.2494
100100895,2010-05-08,2010-05-08,20:50,Central,OTHER MISCELLANEOUS CRIME,38,M,Korean,SIDEWALK,,Invest Cont,34.0489,-118.2453
100100897,2010-05-10,2010-05-09,23:15,Central,BRANDISH WEAPON,62,M,White,STREET,OTHER KNIFE,Invest Cont,34.0382,-118.2384
100100898,2010-05-10,2010-05-10,01:15,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,Hispanic/Latin/Mexican,STREET,,Adult Arrest,34.0474,-118.2496
100100900,2010-05-10,2010-05-10,11:05,Central,BURGLARY,92,F,Other,SINGLE FAMILY DWELLING,,Invest Cont,34.0673,-118.2354
100100912,2010-05-12,2010-05-12,03:55,Central,VEHICLE - ATTEMPT STOLEN,58,M,Black,STREET,,Adult Arrest,34.0419,-118.2485
100100913,2010-05-12,2010-05-12,03:55,Central,BURGLARY FROM VEHICLE,58,M,Black,STREET,,Adult Arrest,34.0419,-118.2485
100100922,2010-05-14,2010-05-13,02:00,Central,ROBBERY,43,M,White,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0442,-118.2439
100100924,2010-05-14,2010-05-13,01:30,Central,BATTERY - SIMPLE ASSAULT,40,M,Hispanic/Latin/Mexican,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0423,-118.2561
100100925,2010-05-14,2010-05-13,01:20,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,F,Black,STREET,OTHER KNIFE,Invest Cont,34.0423,-118.2452
100100928,2010-05-13,2010-05-13,18:10,Central,THEFT PLAIN - PETTY ($950 & UNDER),0,M,Hispanic/Latin/Mexican,SIDEWALK,,Invest Cont,34.0544,-118.2466
100100988,2010-06-01,2010-06-01,00:45,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,Hispanic/Latin/Mexican,STREET,BOARD,Invest Cont,34.0333,-118.262
100100929,2010-05-14,2010-05-13,23:45,Central,BATTERY - SIMPLE ASSAULT,28,M,Hispanic/Latin/Mexican,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0388,-118.2574
100100932,2010-05-16,2010-05-16,01:00,Central,BATTERY - SIMPLE ASSAULT,27,M,Hispanic/Latin/Mexican,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0482,-118.2472
100100936,2010-05-17,2010-05-17,17:30,Central,INTIMATE PARTNER - SIMPLE ASSAULT,19,F,White,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0437,-118.2652
100100943,2010-05-19,2010-05-16,03:00,Central,BATTERY WITH SEXUAL CONTACT,59,F,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0423,-118.2452
